input_v,code
0.0625,0
0.1875,0
0.3125,0
0.4375,0
0.5625,0
0.6875,0
0.8125,0
0.9375,0
1.0625,0
1.1875,0
1.3125,0
1.4375,1
1.5625,1
1.6875,1
1.8125,1
1.9375,1
2.0625,1
2.1875,1
2.3125,1
2.4375,1
2.5625,2
2.6875,2
2.8125,2
2.9375,2
3.0625,2
3.1875,2
3.3125,2
3.4375,2
3.5625,2
3.6875,3
3.8125,3
3.9375,3
4.0625,3
4.1875,3
4.3125,3
4.4375,3
4.5625,3
4.6875,3
4.8125,4
4.9375,4
5.0625,4
5.1875,4
5.3125,4
5.4375,4
5.5625,4
5.6875,4
5.8125,4
5.9375,5
6.0625,5
6.1875,5
6.3125,5
6.4375,5
6.5625,5
6.6875,5
6.8125,5
6.9375,5
7.0625,6
7.1875,6
7.3125,6
7.4375,6
7.5625,6
7.6875,6
7.8125,6
7.9375,6
8.0625,6
8.1875,7
8.3125,7
8.4375,7
8.5625,7
8.6875,7
8.8125,7
8.9375,7
