input_v,code
0.0625,0
0.1875,0
0.3125,0
0.4375,0
0.5625,0
0.6875,0
0.8125,0
0.9375,0
1.0625,1
1.1875,1
1.3125,1
1.4375,1
1.5625,1
1.6875,1
1.8125,1
1.9375,1
2.0625,2
2.1875,2
2.3125,2
2.4375,2
2.5625,2
2.6875,2
2.8125,2
2.9375,2
3.0625,2
3.1875,2
3.3125,3
3.4375,3
3.5625,3
3.6875,3
3.8125,3
3.9375,3
4.0625,3
4.1875,3
4.3125,3
4.4375,3
4.5625,4
4.6875,4
4.8125,4
4.9375,4
5.0625,4
5.1875,4
5.3125,5
5.4375,5
5.5625,5
5.6875,5
5.8125,5
5.9375,5
6.0625,6
6.1875,6
6.3125,6
6.4375,6
6.5625,6
6.6875,6
6.8125,6
6.9375,6
7.0625,7
7.1875,7
7.3125,7
7.4375,7
7.5625,7
7.6875,7
7.8125,7
7.9375,7
